STATE NAME,DISTRICT NAME,tau_per_teacher
JAMMU AND KASHMIR,KUPWARA,1.706087740320238e-07
JAMMU AND KASHMIR,BARAMULA,-2.341272495216091e-07
JAMMU AND KASHMIR,SRINAGAR,-2.341272495216091e-07
JAMMU AND KASHMIR,BADGAM,-3.196950268146199e-07
JAMMU AND KASHMIR,PULWAMA,-3.196950268146199e-07
JAMMU AND KASHMIR,ANANTNAG,-3.196950268146199e-07
JAMMU AND KASHMIR,LEH (LADAKH),-2.341272495216091e-07
JAMMU AND KASHMIR,KARGIL,2.1093953041192297e-07
JAMMU AND KASHMIR,DODA,1.6716844300631034e-07
JAMMU AND KASHMIR,UDHAMPUR,-3.196950268146199e-07
JAMMU AND KASHMIR,PUNCH,2.1093953041192297e-07
JAMMU AND KASHMIR,RAJAURI,1.706087740320238e-07
JAMMU AND KASHMIR,JAMMU,-2.341272495216091e-07
JAMMU AND KASHMIR,KATHUA,1.706087740320238e-07
JAMMU AND KASHMIR,SHOPIAN,-2.341272495216091e-07
JAMMU AND KASHMIR,BANDIPORA,2.1093953041192297e-07
JAMMU AND KASHMIR,KISHTWAR,-3.196950268146199e-07
JAMMU AND KASHMIR,RAMBAN,1.706087740320238e-07
JAMMU AND KASHMIR,GANDERBAL,-2.341272495216091e-07
JAMMU AND KASHMIR,KULGAM,-3.196950268146199e-07
JAMMU AND KASHMIR,REASI,2.1093953041192297e-07
JAMMU AND KASHMIR,SAMBA,1.6716844300631034e-07
HIMACHAL PRADESH,CHAMBA,2.1093953041192297e-07
HIMACHAL PRADESH,KANGRA,1.706087740320238e-07
HIMACHAL PRADESH,LAHUL AND SPITI,1.6716844300631034e-07
HIMACHAL PRADESH,KULLU,2.1093953041192297e-07
HIMACHAL PRADESH,MANDI,2.1093953041192297e-07
HIMACHAL PRADESH,HAMIRPUR (H,-2.341272495216091e-07
HIMACHAL PRADESH,UNA,1.6716844300631034e-07
HIMACHAL PRADESH,BILASPUR (H,1.706087740320238e-07
HIMACHAL PRADESH,SOLAN,-2.341272495216091e-07
HIMACHAL PRADESH,SIRMAUR,-3.196950268146199e-07
HIMACHAL PRADESH,SHIMLA,1.6716844300631034e-07
HIMACHAL PRADESH,KINNAUR,1.6716844300631034e-07
PUNJAB,GURDASPUR,1.706087740320238e-07
PUNJAB,AMRITSAR,1.6716844300631034e-07
PUNJAB,KAPURTHALA,-2.341272495216091e-07
PUNJAB,JALANDHAR,2.1093953041192297e-07
PUNJAB,HOSHIARPUR,-3.196950268146199e-07
PUNJAB,NAWANSHAHR,-3.196950268146199e-07
PUNJAB,RUPNAGAR,-3.196950268146199e-07
PUNJAB,FATEHGARH SAHIB,1.706087740320238e-07
PUNJAB,LUDHIANA,-3.196950268146199e-07
PUNJAB,MOGA,2.1093953041192297e-07
PUNJAB,FIROZPUR,1.6716844300631034e-07
PUNJAB,MUKTSAR,1.6716844300631034e-07
PUNJAB,FARIDKOT,-2.341272495216091e-07
PUNJAB,BATHINDA,1.706087740320238e-07
PUNJAB,MANSA,1.6716844300631034e-07
PUNJAB,SANGRUR,1.706087740320238e-07
PUNJAB,PATIALA,1.6716844300631034e-07
PUNJAB,MOHALI,-2.341272495216091e-07
PUNJAB,TARAN TARAN,-3.196950268146199e-07
PUNJAB,BARNALA,1.6716844300631034e-07
CHANDIGARH,CHANDIGARH,-2.341272495216091e-07
UTTARAKHAND,UTTARKASHI,1.6716844300631034e-07
UTTARAKHAND,CHAMOLI,-3.196950268146199e-07
UTTARAKHAND,RUDRAPRAYAG,-3.196950268146199e-07
UTTARAKHAND,TEHRI GARHWAL,-2.341272495216091e-07
UTTARAKHAND,DEHRADUN,1.706087740320238e-07
UTTARAKHAND,GARHWAL,1.706087740320238e-07
UTTARAKHAND,PITHORAGARH,-3.196950268146199e-07
UTTARAKHAND,BAGESHWAR,1.706087740320238e-07
UTTARAKHAND,ALMORA,1.6716844300631034e-07
